tokens,exclusive_related_actions,state_with_label
"['MAKE', 'breakfast', 'the', 'night', 'before', 'with', 'a', 'hash', 'brown', 'casserole', 'Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently', 'Spray', 'your', 'slow', 'cooker', 'with', 'some', 'non-stick', 'cooking', 'spray', 'or', 'coat', 'with', 'butter', 'This', 'will', 'prevent', 'sticking', 'so', 'you', ""don't"", 'have', 'a', 'huge', 'mess', 'to', 'clean', 'up', 'Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on', 'Turn', 'the', 'slow', 'cooker', 'on', 'high', 'and', 'leave', 'for', '1', 'to', '1.5', 'hours', 'After', 'this', 'turn', 'the', 'heat', 'to', 'low', 'and', 'leave', 'it', 'on', 'for', '2.5', 'hours', 'longer', 'Turn', 'off', 'slow', 'cooker', 'and', 'serve', 'right', 'away', 'Keep', 'on', 'warm', 'if', 'you', 'plan', 'on', 'waiting', 'to', 'enjoy', 'for', 'a', 'little', 'bit', 'longer', ""It's"", 'best', 'when', 'served', 'with', 'scrambled', 'eggs', 'If', 'you', 'want', 'to', 'add', 'something', 'unique', 'to', 'this', 'recipe', 'add', 'your', 'favorite', 'vegetables', ""It's"", 'generally', 'best', 'to', 'use', 'soft', 'vegetables', 'or', 'those', 'that', 'have', 'been', 'slightly', 'cooked', 'before', 'you', 'add', 'them', 'This', 'will', 'ensure', 'they', ""don't"", 'turn', 'out', 'hard', 'when', 'the', 'rest', 'of', 'the', 'dish', 'is', 'cooked', 'fully', 'Broccoli', 'and', 'cheese', 'work', 'well', 'together', 'but', 'peppers', 'also', 'taste', 'great', 'You', 'can', 'also', 'add', 'in', 'cooked', 'sausage', 'or', 'bacon', 'if', 'you', 'want', 'some', 'meat', 'in', 'the', 'dish', 'Just', 'make', 'sure', 'that', 'the', 'meat', 'you', 'add', 'is', 'already', 'cooked', 'before', ""it's"", 'put', 'in', 'If', 'you', 'add', 'in', 'raw', 'meat', 'it', 'likely', ""won't"", 'fully', 'cook', 'when', 'the', 'rest', 'of', 'the', 'dish', 'is', 'done', 'and', 'may', 'be', 'raw', 'This', 'is', 'a', 'very', 'forgiving', 'recipe', 'that', 'you', 'can', 'play', 'around', 'with', 'and', 'change', 'if', 'you', 'want', 'to', 'add', 'or', 'omit', 'something', 'You', 'can', 'do', 'everything', 'from', 'adding', 'in', 'some', 'garlic', 'to', 'switching', 'the', 'flavor', 'of', 'condensed', 'soup', 'you', 'use']","{0: [], 12: [], 35: [], 36: [], 42: [], 44: [54], 54: [44], 71: [], 81: [], 85: [], 92: [], 100: [], 106: [], 113: [], 118: [], 121: [], 139: [], 147: [], 153: [], 161: [], 173: [], 206: [], 227: [], 230: [], 233: [], 237: [], 267: [], 271: [], 276: [278], 278: [276], 285: [], 290: []}","[[-0.33252001  0.073082    0.34678    ... -0.10613397  0.01459303
   2.        ]
 [-0.81866002  0.11267    -0.018692   ...  0.14422902 -0.29758239
   1.        ]
 [-0.038194   -0.24487001  0.72812003 ... -0.01575121  0.68281424
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['How', 'to', 'make', 'chili', 'cornbread', 'pie', 'Cook', 'the', 'ground', 'beef', 'chopped', 'onion', 'and', 'green', 'pepper', 'in', 'a', 'large', 'skillet', 'till', 'brown', 'Drain', 'the', 'fat', 'from', 'the', 'mixture', 'and', 'add', 'tomato', 'sauce', 'tomato', 'paste', 'undrained', 'beans', 'chili', 'powder', 'hot', 'pepper', 'sauce', 'and', 'the', 'cumin', 'Stir', 'till', 'it', 'is', 'well', 'mixed', 'Bring', 'the', 'mixture', 'to', 'boiling', 'Reduce', 'the', 'heat', 'and', 'let', 'it', 'simmer', 'for', 'five', 'minutes', 'while', 'stirring', 'frequently', 'Get', 'a', 'ten', 'inch', 'pie', 'plate', 'and', 'lightly', 'grease', 'it', 'Separate', 'the', 'corn', 'bread', 'twists', 'but', ""don't"", 'uncoil', 'them', 'Arrange', 'the', 'twists', 'on', 'the', 'greased', 'plate', 'pressing', 'them', 'on', 'the', 'side', 'and', 'the', 'bottom', 'of', 'the', 'plate', 'Ensure', 'the', 'twists', 'have', 'extended', 'above', 'the', 'plate', 'by', 'an', 'inch', 'Using', 'a', 'spoon', 'scoop', 'the', 'ground', 'beef', 'mixture', 'onto', 'the', 'top', 'of', 'the', 'crust', 'Mix', 'the', 'sour', 'cream', 'with', 'flour', 'and', 'spread', 'it', 'on', 'top', 'of', 'the', 'beef', 'mixture', 'Sprinkle', 'some', 'corn', 'chips', 'and', 'cheese', 'atop', 'the', 'mixture', 'Set', 'your', 'oven', 'to', '375', 'degree', 'F', 'and', 'put', 'the', 'mixture', 'in', 'the', 'oven', 'Bake', 'for', '30', 'minutes', 'Let', 'the', 'baked', 'dish', 'stand', 'for', 'ten', 'minutes', 'then', 'serve', 'You', 'can', 'garnish', 'the', 'dish', 'with', 'green', 'pepper']","{2: [], 6: [], 21: [], 28: [], 43: [], 48: [], 53: [], 54: [], 60: [], 65: [], 67: [], 75: [], 77: [], 86: [], 93: [], 108: [], 115: [], 118: [], 129: [], 136: [], 144: [], 153: [], 161: [], 167: [], 175: [], 180: [], 183: []}","[[-0.23769     0.59391999  0.58696997 ...  0.14547722  0.19780689
   1.        ]
 [-0.18970001  0.050024    0.19084001 ... -0.01058772  0.62803817
   1.        ]
 [-0.33252001  0.073082    0.34678    ... -0.05861731 -0.11824433
   3.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['How', 'to', 'make', 'chocolate', 'raspberry', 'cream', 'pie', 'How', 'to', 'make', 'this', 'quick', 'dessert', 'Once', 'you', 'have', 'gathered', 'all', 'the', 'ingredients', 'the', 'next', 'step', 'would', 'be', 'to', 'make', 'the', 'crust', 'To', 'do', 'this', 'you', 'will', 'need', 'to', 'put', 'all', 'the', 'broken', 'wafer', 'cookies', 'into', 'the', 'processor', 'and', 'process', 'it', 'until', 'the', 'cookies', 'are', 'finely', 'grounded', 'In', 'a', 'microwavable', 'bowl', 'add', 'butter', 'chocolate', 'chips', 'and', 'sugar', 'before', 'popping', 'into', 'the', 'microwave', 'set', 'in', '15', 'seconds', 'interval', 'Mix', 'the', 'ingredients', 'occasionally', 'Pour', 'the', 'mixture', 'into', 'the', 'processor', 'and', 'blend', 'the', 'ingredients', 'together', 'Add', 'the', 'crumb', 'mixture', 'into', 'the', 'bottom', 'as', 'well', 'as', 'the', 'sides', 'of', 'your', 'pie', 'dish', 'Let', 'it', 'chill', 'while', 'you', 'mix', 'the', 'filling', 'To', 'create', 'the', 'filling', 'whisk', 'together', 'creme', 'faiche', 'condensed', 'milk', 'lemon', 'peel', 'and', 'lemon', 'juice', 'into', 'a', 'bowl', 'Add', 'at', 'least', 'half', 'of', 'the', 'raspberries', 'that', 'you', 'have', 'While', 'stirring', 'slightly', 'press', 'down', 'on', 'the', 'raspberries', 'until', 'they', 'break', 'and', 'their', 'color', 'blend', 'with', 'the', 'rest', 'of', 'the', 'mixture', 'Pour', 'the', 'contents', 'of', 'the', 'filling', 'onto', 'the', 'crumb', 'mixture', 'and', 'allow', 'it', 'to', 'cool', 'in', 'the', 'fridge', 'Add', 'the', 'remaining', 'raspberries', 'on', 'top', 'when', 'serving', 'for', 'added', 'effects', 'and', 'taste']","{2: [], 9: [], 16: [], 26: [], 36: [], 46: [], 53: [], 58: [], 65: [], 74: [], 78: [], 85: [], 89: [], 107: [], 110: [], 114: [], 117: [], 131: [], 142: [], 144: [], 162: [], 176: [], 180: [], 187: []}","[[-0.23769     0.59391999  0.58696997 ...  0.19266629  0.16058049
   1.        ]
 [-0.18970001  0.050024    0.19084001 ... -0.00519608  0.55311155
   1.        ]
 [-0.33252001  0.073082    0.34678    ...  0.02186264 -0.2181696
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['How', 'to', 'make', 'english', 'country', 'scones', 'Preheat', 'oven', 'to', '425F', 'Line', 'the', 'baking', 'sheet', 'with', 'some', 'parchment', 'paper', 'Sift', 'into', 'a', 'bowl', 'the', 'baking', 'soda', 'salt', 'cream', 'of', 'tartar', 'and', '2', 'cups', 'flour', 'Cut', 'the', 'butter', 'into', 'the', 'mixture', 'until', 'it', 'gains', 'the', 'consistency', 'of', 'bread', 'crumbs', 'Mix', 'in', 'the', 'sugar', 'and', 'about', 'a', 'half', 'cup', 'of', 'milk', 'to', 'form', 'a', 'soft', 'dough', 'Feel', 'free', 'to', 'use', 'a', 'little', 'less', 'or', 'more', 'milk', 'to', 'prevent', 'the', 'dough', 'from', 'being', 'too', 'stiff', 'or', 'watery', 'Put', 'some', 'flour', 'on', 'a', 'clean', 'flat', 'surface', 'and', 'transfer', 'the', 'dough', 'there', 'Knead', 'the', 'dough', 'gently', 'with', 'rolling', 'pin', 'flattening', 'it', 'to', 'about', '0.75', 'inches', 'thick', 'Using', 'a', 'glass', 'or', 'a', 'dough', 'cutter', 'cut', '2-inch', 'circles', 'from', 'the', 'dough', 'This', 'should', 'yield', 'around', '12', 'pieces', 'Place', 'the', 'dough', 'slices', 'onto', 'the', 'baking', 'sheet', 'Make', 'sure', 'to', 'leave', 'about', '2', 'inches', 'space', 'around', 'each', 'slice', 'This', 'gives', 'the', 'dough', 'enough', 'room', 'to', 'expand', 'slightly', 'during', 'baking', 'Brush', 'each', 'dough', 'slice', 'with', 'milk', 'Bake', 'the', 'dough', 'slices', 'at', '425F', 'for', '10', 'minutes', 'Once', 'your', 'scones', 'are', 'done', 'cool', 'them', 'briefly', 'on', 'wire', 'rack']","{2: [], 6: [], 10: [], 18: [], 33: [], 47: [], 66: [], 83: [], 92: [], 96: [], 103: [], 110: [], 117: [], 129: [], 140: [], 159: [], 165: [], 179: []}","[[-0.23769     0.59391999  0.58696997 ...  0.16625896  0.17847076
   1.        ]
 [-0.18970001  0.050024    0.19084001 ... -0.02079804  0.75058961
   1.        ]
 [-0.33252001  0.073082    0.34678    ...  0.10514633 -0.14464556
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['How', 'to', 'make', 'an', 'English', 'flapjack', 'Preheat', 'your', 'oven', 'at', '350', 'degree', 'C', 'and', 'prepare', 'a', 'greased', '9', 'inch', 'pan', 'You', 'may', 'also', 'use', 'non-stick', 'baking', 'paper', 'which', 'makes', 'the', 'cake', 'easier', 'to', 'pry', 'out', 'In', 'a', 'bowl', 'mix', 'the', 'butter', '4', 'tablespoons', 'of', 'syrup', 'and', 'sugar', 'and', 'aim', 'for', 'a', 'grainy', 'texture', 'Add', 'your', 'pinch', 'of', 'salt', 'to', 'bring', 'out', 'the', 'sweetness', 'and', 'a', 'get', 'a', 'rounder', 'flavor', 'Take', 'your', 'oats', 'dried', 'fruits', 'and', 'fresh', 'almonds', 'and', 'fold', 'it', 'in', 'the', 'sweet', 'butter', 'mixture', 'Pour', 'your', 'course', 'batter', 'into', 'your', 'lined', 'pan', 'and', 'stick', 'it', 'into', 'your', 'oven', 'to', 'cook', 'for', '45', 'to', '50', 'minutes', 'or', 'until', 'golden', 'brown', 'While', ""it's"", 'cooking', 'use', 'the', 'remaining', 'tablespoon', 'of', 'syrup', 'to', 'sweeten', 'the', 'lemon', 'juice', 'When', ""it's"", 'cooked', 'take', 'it', 'out', 'of', 'the', 'oven', 'slice', 'them', 'into', 'squares', 'while', 'still', 'in', 'the', 'pan', 'More', 'importantly', 'add', 'the', 'lemon', 'juice', 'mixture', 'while', ""it's"", 'hot']","{2: [], 6: [], 14: [], 23: [], 38: [], 53: [], 59: [], 65: [], 69: [], 78: [], 85: [], 94: [], 100: [], 113: [], 120: [], 127: [], 133: [], 144: []}","[[-0.23769     0.59391999  0.58696997 ...  0.17978108  0.18535182
   1.        ]
 [-0.18970001  0.050024    0.19084001 ...  0.01466777  0.77582538
   1.        ]
 [-0.33252001  0.073082    0.34678    ... -0.06611307 -0.14233996
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['How', 'to', 'cook', 'french', 'toast', 'with', 'creamy', 'maple', 'syrup', 'Choose', 'a', 'medium-sized', 'bowl', 'where', 'you', 'add', '2', 'eggs', '0.2', 'teaspoon', 'of', 'salt', 'half', 'a', 'cup', 'of', 'milk', 'and', 'a', 'quarter', 'teaspoon', 'of', 'vanilla', 'Mix', 'the', 'ingredients', 'together', 'and', 'afterwards', 'dip', 'the', 'slices', 'of', 'bread', 'in', 'the', 'mixture', 'on', 'both', 'sides', 'The', 'second', 'step', 'is', 'to', 'prepare', 'the', 'cooking', 'pan', 'If', 'you', 'want', 'to', 'eat', 'healthy', 'it', 'is', 'highly', 'recommended', 'to', 'use', 'butter', 'instead', 'of', 'cooking', 'oil', 'Cut', 'several', 'thin', 'slices', 'of', 'butter', 'and', 'let', 'them', 'melt', 'in', 'the', 'pan', 'After', 'that', 'simply', 'put', 'the', 'slices', 'of', 'bread', 'in', 'the', 'pan', 'and', 'make', 'sure', 'they', 'cook', 'evenly', 'on', 'both', 'sides', 'When', 'the', 'colour', 'of', 'the', 'bread', 'turns', 'gold', 'or', 'light', 'brown', 'then', 'it', 'is', 'time', 'to', 'remove', 'them', 'and', 'let', 'them', 'cool', 'for', 'a', 'minute', 'The', 'last', 'step', 'is', 'to', 'add', 'the', 'creamy', 'maple', 'syrup', 'on', 'top', 'of', 'the', 'french', 'toast', 'There', 'are', 'no', 'recommended', 'quanitities', 'simply', 'add', 'as', 'much', 'syrup', 'as', 'you', 'need', 'In', 'addition', 'to', 'the', 'creamy', 'maple', 'syrup', 'some', 'people', 'also', 'prefer', 'to', 'add', 'a', 'bit', 'of', 'powdered', 'sugar', 'and', 'even', 'some', 'slices', 'of', 'fruit', '(this', 'is', 'optional', 'though)', 'Regarding', 'the', 'syrup', 'Vermont', 'Maple', 'Syrup', 'is', 'commonly', 'used', 'due', 'to', 'its', 'consistency', 'and', 'great', 'taste', 'French', 'toast', 'is', 'one', 'of', 'the', 'easiest', 'meals', 'to', 'prepare', 'and', 'it', 'can', 'be', 'a', 'delicious', 'and', 'nutritions', 'breakfast', 'for', 'the', 'entire', 'family']","{2: [], 9: [], 15: [], 33: [], 39: [], 55: [], 70: [], 76: [], 85: [], 92: [], 104: [], 125: [], 130: [], 139: [], 156: [], 175: [], 199: [], 216: []}","[[-0.23769     0.59391999  0.58696997 ...  0.18441829  0.09824385
   1.        ]
 [-0.18970001  0.050024    0.19084001 ...  0.0571668   0.50264215
   1.        ]
 [-1.44420004 -0.087382   -0.24598999 ... -0.05465691  0.31928051
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['How', 'to', 'make', 'fritos', 'chili', 'pie', 'In', 'regular', 'soup', 'bowls', 'fill', 'about', 'one-half', 'to', 'three-quarters', 'of', 'each', 'bowl', 'with', 'Fritos', 'Grate', 'the', 'cheddar', 'cheese', 'and', 'dice', 'the', 'small', 'onion', 'and', 'put', 'to', 'the', 'side', 'Heat', 'the', 'chili', 'in', 'a', 'pot', 'Pour', 'one', 'or', 'two', 'ladle', 'fulls', 'of', 'chili', 'over', 'the', 'Fritos', 'in', 'each', 'bowl', 'Immediately', 'add', 'a', 'small', 'handful', 'of', 'cheese', 'on', 'top', 'while', 'the', 'chili', 'is', 'good', 'and', 'piping', 'hot', 'so', 'the', 'cheese', 'starts', 'to', 'melt', 'Stir', 'just', 'before', 'eating', 'Add', 'optional', 'ingredients', 'last', 'SPECIAL', 'NOTES', 'Originally', 'Frito', 'pies', 'were', 'a', 'southern', 'invention', 'and', 'they', 'were', 'made', 'by', 'opening', 'a', 'small', 'bag', 'of', 'Fritos', 'and', 'putting', 'the', 'chili', 'and', 'cheese', 'directly', 'into', 'the', 'bag', 'Be', 'sure', 'to', 'buy', 'the', 'original', 'brand', 'Fritos', 'because', 'other', 'brands', 'tend', 'to', 'get', 'too', 'soggy', 'Also', 'be', 'sure', 'to', 'buy', 'regular', 'size', 'Fritos', 'because', 'the', 'larger', 'dipping', 'Fritos', 'stay', 'too', 'hard', 'If', 'you', 'want', 'a', 'crunchier', 'Frito', 'pie', 'let', 'the', 'chili', 'cool', 'down', 'just', 'a', 'little', 'so', 'it', ""doesn't"", 'steam', 'up', 'the', 'Fritos', 'You', 'can', 'also', 'keep', 'mixing', 'in', 'fresh', 'Fritos', 'as', 'you', 'eat', 'the', 'Frito', 'pie', 'To', 'make', 'it', 'fancy', 'you', 'can', 'add', 'other', 'types', 'of', 'cheeses', 'but', 'the', 'traditional', 'cheddar', 'is', 'always', 'a', 'crowd', 'pleaser', 'Sometimes', 'it', 'is', 'just', 'better', 'to', 'stick', 'with', 'the', 'original']","{2: [], 10: [], 20: [], 25: [], 30: [], 34: [], 40: [], 55: [], 77: [], 80: [], 81: [], 99: [], 106: [], 118: [], 135: [], 157: [], 173: [], 189: [], 209: []}","[[-0.23769     0.59391999  0.58696997 ...  0.16547246  0.18913275
   1.        ]
 [-0.18970001  0.050024    0.19084001 ... -0.03171831  0.50871557
   1.        ]
 [-0.33252001  0.073082    0.34678    ...  0.00549118 -0.1054994
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['How', 'to', 'make', 'grilled', 'cheese', 'Soften', 'your', 'butter', 'by', 'putting', 'it', 'in', 'the', 'microwave', 'for', '5', 'seconds', '(reminder', 'NEVER', 'put', 'tinfoil', 'in', 'the', 'microwave)', 'Spread', 'some', 'butter', 'on', 'both', 'sides', 'of', 'both', 'slices', 'of', 'bread', 'Place', '2', 'pieces', 'of', 'the', 'American', 'cheese', 'on', 'one', 'slice', 'of', 'bread', 'Put', 'your', 'frying', 'pan', 'on', 'medium', 'heat', 'You', ""don't"", 'need', 'to', 'put', 'any', 'butter', 'or', 'oil', 'on', 'the', 'pan', 'since', ""you've"", 'already', 'spread', 'butter', 'on', 'the', 'outside', 'of', 'your', 'bread', ""You'll"", 'know', 'the', 'sandwich', 'is', 'ready', 'when', 'the', 'bread', 'turns', 'golden', 'brown', 'Use', 'your', 'spatula', 'to', 'peak', 'every', 'once', 'in', 'a', 'while', 'It', 'should', 'take', 'about', '2-3', 'minutes', 'When', 'the', 'under-side', 'is', 'golden', 'brown', 'flip', 'the', 'sandwich', 'with', 'a', 'firm', 'stroke', 'Repeat', 'step', '7', 'It', 'should', 'take', 'less', 'time', 'this', 'go', 'around', 'When', 'the', 'underside', 'is', 'golden', 'brown', 'remove', 'the', 'bread', 'from', 'the', 'pan', 'with', 'your', 'spatula', 'Use', 'a', 'cutting', 'board', 'to', 'cut', 'your', 'grilled', 'cheese', 'sandwich', 'in', 'half', 'Once', ""you're"", 'confortable', 'with', 'making', 'a', 'grilled', 'cheese', 'sandwich', 'you', 'can', 'experiment', 'by', 'adding', 'some', 'extras', 'into', 'the', 'sandwich']","{2: [], 5: [], 9: [], 24: [], 35: [], 47: [], 58: [69], 69: [58], 89: [], 93: [], 111: [], 118: [], 135: [], 144: [], 149: [], 160: [], 169: []}","[[-0.23769     0.59391999  0.58696997 ...  0.109244    0.14915398
   1.        ]
 [-0.18970001  0.050024    0.19084001 ... -0.05952586  0.72932172
   1.        ]
 [-0.33252001  0.073082    0.34678    ... -0.01749725  0.06243319
   3.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['How', 'to', 'make', 'gingerbread', 'men', 'cookies', 'First', 'make', 'the', 'confectioners', 'frosting', 'Beat', '0.5', 'cup', 'butter', 'until', 'it', 'becomes', 'smooth', 'Add', 'the', 'vanilla', 'extract', 'Put', 'the', 'mixer', 'on', 'low', 'speed', 'Add', 'the', 'powdered', 'sugar', 'little', 'by', 'little', 'Add', 'the', 'milk', 'Switch', 'to', 'high', 'speed', 'Beat', 'the', 'mixture', 'until', 'your', 'frosting', 'become', 'fluffy', 'and', 'light', 'If', 'you', 'want', 'colored', 'frosting', 'you', 'can', 'add', 'food', 'coloring', 'drop', 'by', 'drop', 'at', 'this', 'point', 'while', 'you', 'continue', 'blending', 'Set', 'your', 'frosting', 'aside', 'Now', 'sift', 'together', 'the', 'flour', 'baking', 'soda', 'salt', 'ginger', 'cloves', 'nutmeg', 'and', 'cinnamon', 'in', 'a', 'large', 'bowl', 'Using', 'the', 'electric', 'mixer', 'beat', 'together', 'the', 'sugar', 'and', '0.5', 'cup', 'butter', 'until', 'the', 'mixture', 'becomes', 'light', 'and', 'fluffy', 'Add', 'the', 'molasses', 'and', 'egg', 'and', 'beat', 'the', 'mixture', 'again', 'until', 'everything', 'is', 'well', 'combined', 'Add', 'the', 'flour', 'mixture', 'into', 'the', 'liquid', 'mixture', 'then', 'beat', 'again', 'until', 'everything', 'is', 'thoroughly', 'mixed', 'Divide', 'the', 'dough', 'into', 'two', 'equal', 'parts', 'Wrap', 'each', 'separately', 'in', 'plastic', 'Refrigerate', 'the', 'dough', 'for', 'two', 'hours', 'or', 'even', 'overnight', 'until', 'it', 'becomes', 'firm', 'Preheat', 'the', 'oven', 'to', '177C', '(350F)', 'Place', 'rack', 'at', 'the', 'center', 'of', 'the', 'oven', 'Roll', 'out', 'the', 'dough', 'to', 'about', '3', 'inch', 'thickness', 'on', 'a', 'lightly', 'floured', 'surface', 'Then', 'cut', 'out', 'the', 'cookies', 'using', 'a', 'gingerbread', 'cutter', 'Line', 'two', 'baking', 'sheets', 'with', 'parchment', 'paper', 'Put', 'your', 'cookies', 'onto', 'the', 'backing', 'sheet', 'atop', 'the', 'parchment', 'paper', 'Make', 'sure', 'you', 'leave', 'at', 'least', '1', 'cm', 'space', 'per', 'cookie', 'Bake', 'the', 'cookies', 'until', 'they', 'are', 'firm', 'and', 'the', 'edges', 'begin', 'turning', 'brown', 'This', 'normally', 'takes', 'about', '8-12', 'minutes', 'Take', 'the', 'cookies', 'out', 'of', 'the', 'oven', 'and', 'leave', 'them', 'on', 'the', 'baking', 'sheets', 'for', 'about', 'a', 'minute', 'to', 'let', 'them', 'cool', 'Then', 'you', 'can', 'transfer', 'them', 'to', 'the', 'wire', 'rack', 'to', 'let', 'them', 'cool', 'completely', 'Place', 'the', 'frosting', 'in', 'a', 'pastry', 'bag', 'fitted', 'with', 'a', 'decorative', 'tip', 'Decorate', 'the', 'gingerbread', 'man', 'as', 'desired']","{2: [], 10: [], 11: [], 19: [], 23: [], 29: [], 36: [], 39: [], 43: [], 60: [], 72: [], 73: [], 78: [], 94: [], 98: [], 113: [], 119: [], 128: [], 137: [], 144: [], 151: [], 156: [], 169: [], 175: [], 183: [], 198: [], 202: [], 206: [], 213: [], 227: [], 235: [], 254: [], 262: [], 275: [], 279: [], 288: [], 290: [], 302: []}","[[-0.23769     0.59391999  0.58696997 ...  0.17686206  0.16418685
   1.        ]
 [-0.18970001  0.050024    0.19084001 ...  0.03860127  0.4108482
   1.        ]
 [-0.33252001  0.073082    0.34678    ...  0.00631506 -0.13059366
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['How', 'to', 'make', 'homemade', 'pizza', 'Preheat', 'the', 'oven', 'to', '425F', 'Pour', 'the', 'yeast', 'in', 'hot', 'water', 'to', 'dissolve', 'it', 'Stir', 'in', 'sugar', 'and', 'salt', 'into', 'the', 'water', 'using', 'a', 'fork', 'When', 'the', 'salt', 'and', 'sugar', 'has', 'combined', 'well', 'with', 'the', 'yeast', 'mixture', 'start', 'adding', 'in', 'the', 'flour', 'Add', 'half', 'a', 'cup', 'at', 'a', 'time', 'slowly', 'stirring', 'to', 'dissolve', 'the', 'flour', 'To', 'finish', 'the', 'dough', 'add', 'in', 'the', 'oil', 'stirring', 'vigorously', 'After', 'mixing', 'the', 'oil', 'into', 'the', 'dough', 'check', 'the', 'consistency', 'of', 'the', 'dough', 'You', 'can', 'add', 'another', 'half', 'cup', 'of', 'flour', 'if', 'the', 'dough', 'is', 'too', 'sticky', 'Let', 'the', 'dough', 'rise', 'for', 'about', '30', 'minutes', 'in', 'a', 'bowl', 'covered', 'by', 'a', 'kitchen', 'towel', 'Take', 'the', 'risen', 'dough', 'out', 'of', 'the', 'bowl', 'and', 'start', 'kneading', 'it', 'on', 'a', 'floured', 'surface', 'Coat', 'your', 'hands', 'with', 'flour', 'as', 'well', 'so', 'that', 'the', 'dough', ""won't"", 'stick', 'to', 'your', 'fingers', 'Spread', 'the', 'dough', 'on', 'the', 'greased', 'cookie', 'sheet', 'Note:', ""It's"", 'best', 'to', 'use', 'a', 'baking', 'spray', 'to', 'grease', 'the', 'sheet', 'evenly', 'Pour', 'the', 'tomato', 'sauce', 'over', 'the', 'dough', 'Use', 'a', 'spatula', 'to', 'spread', 'the', 'sauce', 'towards', 'the', 'edges', 'Add', 'the', 'toppings', 'then', 'sprinkle', 'the', 'cheese', 'on', 'top', 'of', 'everything', 'Note:', 'To', 'add', 'more', 'color', 'and', 'flavorful', 'aroma', 'finish', 'up', 'by', 'sprinkling', 'herbs', 'such', 'as', 'rough-chopped', 'oregano', 'or', 'basil', 'over', 'your', 'pizza', 'Bake', 'in', 'the', 'oven', 'for', '20-25', 'minutes', 'When', 'your', 'pizza', 'is', 'done', 'take', 'it', 'out', 'and', 'serve', 'it', 'immediately']","{2: [], 5: [], 10: [], 17: [], 19: [], 27: [], 36: [], 43: [], 47: [], 55: [], 57: [], 61: [], 64: [], 68: [], 71: [], 77: [], 85: [], 100: [], 113: [], 123: [], 129: [], 145: [], 157: [], 162: [], 166: [], 173: [], 177: [], 183: [], 187: [], 196: [], 205: [], 216: [], 228: [], 232: []}","[[-0.23769     0.59391999  0.58696997 ...  0.14926587  0.12409884
   1.        ]
 [-0.18970001  0.050024    0.19084001 ... -0.05295127  0.66839373
   1.        ]
 [-0.33252001  0.073082    0.34678    ...  0.01577363 -0.07235721
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
