tokens,exclusive_related_actions,state_with_label
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel', 'On', 'the', 'view', 'menu', 'click', 'large', 'icons', 'On', 'the', 'view', 'menu', 'click', 'small', 'icons']","{0: [], 2: [], 7: [], 14: [], 21: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.22501497  0.11163552
   2.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.14974312 -0.11130046
   1.        ]
 [ 0.17269    -0.027609    0.49901    ... -0.55564862  0.35249931
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options', 'Under', 'language', 'settings', 'for', 'the', 'system', 'click', 'to', 'select', 'the', 'japanese', 'check', 'box', 'In', 'the', 'your', 'locale', '(location)', 'list', 'click', 'japanese', 'and', 'then', 'click', 'ok']","{0: [], 2: [], 5: [], 10: [], 19: [], 21: [], 32: [], 36: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.19619085  0.1265325
   2.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.00967534 -0.20539126
   1.        ]
 [ 0.17269    -0.027609    0.49901    ... -0.50882846  0.28963771
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'the', 'double-click', 'system', 'On', 'the', 'hardware', 'tab', 'click', 'device', 'manager']","{0: [], 2: [], 5: [], 10: [], 16: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.2837097   0.09756846
   2.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.0521353  -0.12633474
   1.        ]
 [ 0.17269    -0.027609    0.49901    ... -0.60493428  0.39084008
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'display', 'Click', 'the', 'screen', 'saver', 'tab', 'click', 'the', 'channel', 'screen', 'saver', 'in', 'the', 'screen', 'saver', 'box', 'and', 'then', 'click', 'settings', 'Click', 'to', 'select', 'the', 'desired', 'channel', 'screen', 'savers', 'in', 'the', 'channels', 'box', 'click', 'ok', 'and', 'then', 'click', 'ok']","{0: [], 2: [], 5: [], 10: [], 12: [], 17: [], 29: [], 31: [], 33: [], 43: [], 47: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.30972674  0.13819951
   2.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.05051804 -0.13573302
   1.        ]
 [ 0.17269    -0.027609    0.49901    ... -0.62527323  0.32389647
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Right-Click', 'the', 'internet', 'explorer', 'icon', 'on', 'your', 'desktop', 'and', 'then', 'click', 'properties', 'On', 'the', 'security', 'tab', 'click', 'the', 'internet', 'icon', 'and', 'then', 'click', 'custom', 'level', 'Change', 'the', 'run', 'activex', 'controls', 'and', 'plug-ins', 'option', 'to', 'either', 'enable', 'or', 'prompt', 'Click', 'ok']","{0: [], 10: [], 16: [], 22: [], 25: [], 38: []}","[[ 0.          0.          0.         ...  0.15591989 -0.19898975
   2.        ]
 [-0.038194   -0.24487001  0.72812003 ... -0.23603797  0.17389175
   1.        ]
 [ 0.17614     0.0020898   0.14669999 ...  0.61265785 -0.00676226
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Start', 'internet', 'explorer', 'On', 'the', 'tools', 'menu', 'click', 'internet', 'options', 'Click', 'the', 'advanced', 'tab', 'Click', 'to', 'clear', 'or', 'select', 'the', 'enable', 'personalized', 'favorites', 'menu', 'check', 'box', 'Click', 'ok']","{0: [], 7: [], 10: [], 14: [], 16: [18], 18: [16], 26: []}","[[ 0.23336001  0.16042     0.050714   ...  0.74722672 -0.61113882
   2.        ]
 [ 0.17614     0.0020898   0.14669999 ...  0.50436497 -0.07916367
   1.        ]
 [-0.72951001 -0.16535001  0.85606998 ...  0.27042252  0.00719359
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Right-Click', 'the', 'folder', 'and', 'then', 'click', 'properties', 'On', 'the', 'general', 'tab', 'click', 'advanced', 'Click', 'to', 'select', 'the', 'for', 'fast', 'searching', 'allow', 'the', 'index', 'service', 'to', 'index', 'this', 'folder', 'check', 'box', 'click', 'ok', 'and', 'then', 'click', 'apply', 'When', 'you', 'are', 'prompted', 'to', 'apply', 'these', 'settings', 'click', 'all', 'folders', 'sub-folders', 'and', 'files', 'and', 'then', 'click', 'ok']","{0: [], 5: [], 11: [], 13: [], 15: [], 30: [], 34: [], 41: [], 44: [], 52: []}","[[ 0.          0.          0.         ...  0.17470995 -0.36805278
   2.        ]
 [-0.038194   -0.24487001  0.72812003 ... -0.06896122 -0.16377814
   1.        ]
 [-0.81952     0.45131999  0.42394999 ...  0.46913338  0.3841449
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'click', 'run', 'in', 'the', 'open', 'box', 'type', 'dcomcnfg', 'and', 'then', 'click', 'ok', 'On', 'the', 'default', 'properties', 'tab', 'click', 'any', 'setting', 'other', 'than', 'anonymous', 'in', 'the', 'default', 'impersonation', 'level', 'box', 'the', 'default', 'setting', 'is', 'identify']","{0: [], 2: [], 8: [], 12: [], 19: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.04205108  0.14298528
   2.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.08141444 -0.3485375
   1.        ]
 [-0.76673001 -0.35962     0.38721001 ... -0.09888185  0.36107618
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Start', 'windows', 'explorer', 'On', 'the', 'tools', 'menu', 'click', 'folder', 'options', 'Click', 'the', 'file', 'types', 'tab', 'In', 'the', 'registered', 'file', 'types', 'box', 'click', 'the', 'htm', 'extension', 'and', 'then', 'click', 'advanced', 'In', 'the', 'actions', 'box', 'click', 'print', 'and', 'then', 'click', 'edit', 'Replace', 'the', 'entry', 'in', 'the', 'application', 'used', 'to', 'perform', 'action', 'box', 'with', 'the', 'following', 'line', 'type', 'it', 'as', 'shown', 'rundll32.exe', 'c:\\winnt\\system32\\mshtml.dll', 'printhtml', '""%1""', 'Click', 'ok', 'click', 'ok', 'and', 'then', 'click', 'ok']","{0: [], 7: [], 10: [], 21: [], 27: [], 33: [], 37: [], 39: [], 54: [], 62: [], 64: [], 68: []}","[[ 0.23336001  0.16042     0.050714   ...  0.51352918 -0.37229806
   2.        ]
 [-0.54193997  0.39576     0.21015    ... -0.01596908  0.47991663
   1.        ]
 [-0.72951001 -0.16535001  0.85606998 ...  0.22254105  0.44809628
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'power', 'options', 'Click', 'the', 'ups', 'tab', 'and', 'then', 'click', 'select', 'In', 'the', 'on', 'port', 'box', 'click', 'your', 'com', 'port', 'Click', 'finish', 'and', 'then', 'click', 'ok']","{0: [], 2: [], 5: [], 10: [], 13: [], 19: [], 26: [], 30: [], 34: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.21448156 -0.01480296
   2.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.10529576 -0.18736717
   1.        ]
 [ 0.17269    -0.027609    0.49901    ... -0.70589823  0.19778009
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
