tokens,exclusive_related_actions,state_with_label
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel', 'On', 'the', 'view', 'menu', 'click', 'large', 'icons', 'On', 'the', 'view', 'menu', 'click', 'small', 'icons']","{0: [], 2: [], 7: [], 14: [], 21: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.03061777  0.29738787
   2.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.08977053  0.00200686
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.24805674  0.08160175
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options', 'Under', 'language', 'settings', 'for', 'the', 'system', 'click', 'to', 'select', 'the', 'japanese', 'check', 'box', 'In', 'the', 'your', 'locale', '(location)', 'list', 'click', 'japanese', 'and', 'then', 'click', 'ok']","{0: [], 2: [], 5: [], 10: [], 19: [], 21: [], 32: [], 36: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.06557172  0.50311065
   2.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.05205366  0.04047692
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.31588548  0.08632084
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'the', 'double-click', 'system', 'On', 'the', 'hardware', 'tab', 'click', 'device', 'manager']","{0: [], 2: [], 5: [], 10: [], 16: []}","[[-0.76673001 -0.35962     0.38721001 ... -0.13741434  0.58727628
   2.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.02121835 -0.06127842
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.2171814   0.07960549
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'display', 'Click', 'the', 'screen', 'saver', 'tab', 'click', 'the', 'channel', 'screen', 'saver', 'in', 'the', 'screen', 'saver', 'box', 'and', 'then', 'click', 'settings', 'Click', 'to', 'select', 'the', 'desired', 'channel', 'screen', 'savers', 'in', 'the', 'channels', 'box', 'click', 'ok', 'and', 'then', 'click', 'ok']","{0: [], 2: [], 5: [], 10: [], 12: [], 17: [], 29: [], 31: [], 33: [], 43: [], 47: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.04187091  0.57188314
   2.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.06888557  0.01060938
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.33399981  0.05123629
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Right-Click', 'the', 'internet', 'explorer', 'icon', 'on', 'your', 'desktop', 'and', 'then', 'click', 'properties', 'On', 'the', 'security', 'tab', 'click', 'the', 'internet', 'icon', 'and', 'then', 'click', 'custom', 'level', 'Change', 'the', 'run', 'activex', 'controls', 'and', 'plug-ins', 'option', 'to', 'either', 'enable', 'or', 'prompt', 'Click', 'ok']","{0: [], 10: [], 16: [], 22: [], 25: [], 38: []}","[[ 0.          0.          0.         ...  0.02609544  0.00559853
   2.        ]
 [-0.038194   -0.24487001  0.72812003 ...  0.60342449  0.37973532
   1.        ]
 [ 0.17614     0.0020898   0.14669999 ...  0.13276732  0.15608096
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Start', 'internet', 'explorer', 'On', 'the', 'tools', 'menu', 'click', 'internet', 'options', 'Click', 'the', 'advanced', 'tab', 'Click', 'to', 'clear', 'or', 'select', 'the', 'enable', 'personalized', 'favorites', 'menu', 'check', 'box', 'Click', 'ok']","{0: [], 7: [], 10: [], 14: [], 16: [18], 18: [16], 26: []}","[[ 0.23336001  0.16042     0.050714   ...  0.03004482 -0.13090153
   2.        ]
 [ 0.17614     0.0020898   0.14669999 ... -0.17981125  0.44657665
   1.        ]
 [-0.72951001 -0.16535001  0.85606998 ... -0.24562666 -0.01754175
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Right-Click', 'the', 'folder', 'and', 'then', 'click', 'properties', 'On', 'the', 'general', 'tab', 'click', 'advanced', 'Click', 'to', 'select', 'the', 'for', 'fast', 'searching', 'allow', 'the', 'index', 'service', 'to', 'index', 'this', 'folder', 'check', 'box', 'click', 'ok', 'and', 'then', 'click', 'apply', 'When', 'you', 'are', 'prompted', 'to', 'apply', 'these', 'settings', 'click', 'all', 'folders', 'sub-folders', 'and', 'files', 'and', 'then', 'click', 'ok']","{0: [], 5: [], 11: [], 13: [], 15: [], 30: [], 34: [], 41: [], 44: [], 52: []}","[[ 0.          0.          0.         ...  0.05788843 -0.02150221
   2.        ]
 [-0.038194   -0.24487001  0.72812003 ...  0.57651234  0.24242133
   1.        ]
 [-0.81952     0.45131999  0.42394999 ...  0.14802831  0.18035746
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'click', 'run', 'in', 'the', 'open', 'box', 'type', 'dcomcnfg', 'and', 'then', 'click', 'ok', 'On', 'the', 'default', 'properties', 'tab', 'click', 'any', 'setting', 'other', 'than', 'anonymous', 'in', 'the', 'default', 'impersonation', 'level', 'box', 'the', 'default', 'setting', 'is', 'identify']","{0: [], 2: [], 8: [], 12: [], 19: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.03340827  0.44089505
   2.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.00850736 -0.09437104
   1.        ]
 [-0.76673001 -0.35962     0.38721001 ...  0.21189672  0.23391636
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Start', 'windows', 'explorer', 'On', 'the', 'tools', 'menu', 'click', 'folder', 'options', 'Click', 'the', 'file', 'types', 'tab', 'In', 'the', 'registered', 'file', 'types', 'box', 'click', 'the', 'htm', 'extension', 'and', 'then', 'click', 'advanced', 'In', 'the', 'actions', 'box', 'click', 'print', 'and', 'then', 'click', 'edit', 'Replace', 'the', 'entry', 'in', 'the', 'application', 'used', 'to', 'perform', 'action', 'box', 'with', 'the', 'following', 'line', 'type', 'it', 'as', 'shown', 'rundll32.exe', 'c:\\winnt\\system32\\mshtml.dll', 'printhtml', '""%1""', 'Click', 'ok', 'click', 'ok', 'and', 'then', 'click', 'ok']","{0: [], 7: [], 10: [], 21: [], 27: [], 33: [], 37: [], 39: [], 54: [], 62: [], 64: [], 68: []}","[[ 0.23336001  0.16042     0.050714   ...  0.07020026 -0.1697928
   2.        ]
 [-0.54193997  0.39576     0.21015    ...  0.06525613  0.55229563
   1.        ]
 [-0.72951001 -0.16535001  0.85606998 ...  0.1182471   0.20694979
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'power', 'options', 'Click', 'the', 'ups', 'tab', 'and', 'then', 'click', 'select', 'In', 'the', 'on', 'port', 'box', 'click', 'your', 'com', 'port', 'Click', 'finish', 'and', 'then', 'click', 'ok']","{0: [], 2: [], 5: [], 10: [], 13: [], 19: [], 26: [], 30: [], 34: []}","[[-0.76673001 -0.35962     0.38721001 ...  0.01607856  0.54200542
   2.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.03803828  0.04501352
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.30746779  0.09823342
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
