tokens,exclusive_related_actions,state_with_label
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel', 'On', 'the', 'view', 'menu', 'click', 'large', 'icons', 'On', 'the', 'view', 'menu', 'click', 'small', 'icons']","{0: [], 2: [], 7: [], 14: [], 21: []}","[[-0.76673001 -0.35962     0.38721001 ... -0.16190204  0.4007301
   2.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.11415233  0.69063377
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.11540128  0.49702913
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options', 'Under', 'language', 'settings', 'for', 'the', 'system', 'click', 'to', 'select', 'the', 'japanese', 'check', 'box', 'In', 'the', 'your', 'locale', '(location)', 'list', 'click', 'japanese', 'and', 'then', 'click', 'ok']","{0: [], 2: [], 5: [], 10: [], 19: [], 21: [], 32: [], 36: []}","[[-0.76673001 -0.35962     0.38721001 ... -0.23322059  0.39692926
   2.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.08223294  0.6964978
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.11754221  0.56144136
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'the', 'double-click', 'system', 'On', 'the', 'hardware', 'tab', 'click', 'device', 'manager']","{0: [], 2: [], 5: [], 10: [], 16: []}","[[-0.76673001 -0.35962     0.38721001 ... -0.24444686  0.37504277
   2.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.00800799  0.62246448
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.16804305  0.59187889
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'display', 'Click', 'the', 'screen', 'saver', 'tab', 'click', 'the', 'channel', 'screen', 'saver', 'in', 'the', 'screen', 'saver', 'box', 'and', 'then', 'click', 'settings', 'Click', 'to', 'select', 'the', 'desired', 'channel', 'screen', 'savers', 'in', 'the', 'channels', 'box', 'click', 'ok', 'and', 'then', 'click', 'ok']","{0: [], 2: [], 5: [], 10: [], 12: [], 17: [], 29: [], 31: [], 33: [], 43: [], 47: []}","[[-0.76673001 -0.35962     0.38721001 ... -0.28553769  0.39834955
   2.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.07536005  0.66435033
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.12588805  0.53292936
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Right-Click', 'the', 'internet', 'explorer', 'icon', 'on', 'your', 'desktop', 'and', 'then', 'click', 'properties', 'On', 'the', 'security', 'tab', 'click', 'the', 'internet', 'icon', 'and', 'then', 'click', 'custom', 'level', 'Change', 'the', 'run', 'activex', 'controls', 'and', 'plug-ins', 'option', 'to', 'either', 'enable', 'or', 'prompt', 'Click', 'ok']","{0: [], 10: [], 16: [], 22: [], 25: [], 38: []}","[[ 0.          0.          0.         ... -0.06758519  0.51085907
   2.        ]
 [-0.038194   -0.24487001  0.72812003 ... -0.06012543  0.4134984
   1.        ]
 [ 0.17614     0.0020898   0.14669999 ... -0.32232538  0.32045943
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Start', 'internet', 'explorer', 'On', 'the', 'tools', 'menu', 'click', 'internet', 'options', 'Click', 'the', 'advanced', 'tab', 'Click', 'to', 'clear', 'or', 'select', 'the', 'enable', 'personalized', 'favorites', 'menu', 'check', 'box', 'Click', 'ok']","{0: [], 7: [], 10: [], 14: [], 16: [18], 18: [16], 26: []}","[[ 0.23336001  0.16042     0.050714   ... -0.16689648 -0.20748395
   2.        ]
 [ 0.17614     0.0020898   0.14669999 ... -0.10560615  0.41134131
   1.        ]
 [-0.72951001 -0.16535001  0.85606998 ...  0.10077868 -0.03251583
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Right-Click', 'the', 'folder', 'and', 'then', 'click', 'properties', 'On', 'the', 'general', 'tab', 'click', 'advanced', 'Click', 'to', 'select', 'the', 'for', 'fast', 'searching', 'allow', 'the', 'index', 'service', 'to', 'index', 'this', 'folder', 'check', 'box', 'click', 'ok', 'and', 'then', 'click', 'apply', 'When', 'you', 'are', 'prompted', 'to', 'apply', 'these', 'settings', 'click', 'all', 'folders', 'sub-folders', 'and', 'files', 'and', 'then', 'click', 'ok']","{0: [], 5: [], 11: [], 13: [], 15: [], 30: [], 34: [], 41: [], 44: [], 52: []}","[[ 0.          0.          0.         ... -0.05001418  0.43864393
   2.        ]
 [-0.038194   -0.24487001  0.72812003 ...  0.02502746  0.63651448
   1.        ]
 [-0.81952     0.45131999  0.42394999 ...  0.02558052  0.12451102
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'click', 'run', 'in', 'the', 'open', 'box', 'type', 'dcomcnfg', 'and', 'then', 'click', 'ok', 'On', 'the', 'default', 'properties', 'tab', 'click', 'any', 'setting', 'other', 'than', 'anonymous', 'in', 'the', 'default', 'impersonation', 'level', 'box', 'the', 'default', 'setting', 'is', 'identify']","{0: [], 2: [], 8: [], 12: [], 19: []}","[[-0.76673001 -0.35962     0.38721001 ... -0.12840593  0.3992514
   2.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.00805104  0.40289235
   1.        ]
 [-0.76673001 -0.35962     0.38721001 ... -0.03338669  0.4232319
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Start', 'windows', 'explorer', 'On', 'the', 'tools', 'menu', 'click', 'folder', 'options', 'Click', 'the', 'file', 'types', 'tab', 'In', 'the', 'registered', 'file', 'types', 'box', 'click', 'the', 'htm', 'extension', 'and', 'then', 'click', 'advanced', 'In', 'the', 'actions', 'box', 'click', 'print', 'and', 'then', 'click', 'edit', 'Replace', 'the', 'entry', 'in', 'the', 'application', 'used', 'to', 'perform', 'action', 'box', 'with', 'the', 'following', 'line', 'type', 'it', 'as', 'shown', 'rundll32.exe', 'c:\\winnt\\system32\\mshtml.dll', 'printhtml', '""%1""', 'Click', 'ok', 'click', 'ok', 'and', 'then', 'click', 'ok']","{0: [], 7: [], 10: [], 21: [], 27: [], 33: [], 37: [], 39: [], 54: [], 62: [], 64: [], 68: []}","[[ 0.23336001  0.16042     0.050714   ... -0.09965126  0.3291083
   2.        ]
 [-0.54193997  0.39576     0.21015    ... -0.22021702  0.34131005
   1.        ]
 [-0.72951001 -0.16535001  0.85606998 ...  0.07655402  0.01731818
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'power', 'options', 'Click', 'the', 'ups', 'tab', 'and', 'then', 'click', 'select', 'In', 'the', 'on', 'port', 'box', 'click', 'your', 'com', 'port', 'Click', 'finish', 'and', 'then', 'click', 'ok']","{0: [], 2: [], 5: [], 10: [], 13: [], 19: [], 26: [], 30: [], 34: []}","[[-0.76673001 -0.35962     0.38721001 ... -0.23561385  0.43103132
   2.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.1236658   0.73787969
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.13440408  0.58622396
   2.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
