tokens,act_ind,act_inds,obj_inds,state_with_label
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel']",0,"[0, 2, 7]","[[1], []]","[[-0.176   0.0406 -0.0698 ...  0.1979  0.      1.    ]
 [-0.1246  0.0086  0.009  ...  0.0515  1.      2.    ]
 [ 0.0557  0.0413 -0.0144 ...  0.0486  2.      1.    ]
 ...
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]]"
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel']",2,"[0, 2, 7]","[[4], []]","[[-0.176   0.0406 -0.0698 ...  0.1979  2.      1.    ]
 [-0.1246  0.0086  0.009  ...  0.0515  1.      1.    ]
 [ 0.0557  0.0413 -0.0144 ...  0.0486  0.      1.    ]
 ...
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]]"
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel']",7,"[0, 2, 7]","[[8, 9], []]","[[-0.176   0.0406 -0.0698 ...  0.1979  7.      1.    ]
 [-0.1246  0.0086  0.009  ...  0.0515  6.      1.    ]
 [ 0.0557  0.0413 -0.0144 ...  0.0486  5.      1.    ]
 ...
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]]"
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel', 'On', 'the', 'view', 'menu', 'click', 'large', 'icons']",14,[14],"[[15, 16], []]","[[-1.75999999e-01  4.06000018e-02 -6.97999969e-02 ...  1.97899997e-01
   1.40000000e+01  1.00000000e+00]
 [-1.24600001e-01  8.60000029e-03  8.99999961e-03 ...  5.15000001e-02
   1.30000000e+01  1.00000000e+00]
 [ 5.57000004e-02  4.12999988e-02 -1.43999998e-02 ...  4.85999994e-02
   1.20000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['On', 'the', 'view', 'menu', 'click', 'large', 'icons', 'On', 'the', 'view', 'menu', 'click', 'small', 'icons']",11,[11],"[[12, 13], []]","[[ 0.0599 -0.0215  0.0134 ... -0.0926 11.      1.    ]
 [ 0.0897  0.016  -0.0571 ... -0.0259 10.      1.    ]
 [-0.0274 -0.077  -0.11   ...  0.0763  9.      1.    ]
 ...
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",0,"[0, 2, 5, 10]","[[1], []]","[[-0.176   0.0406 -0.0698 ...  0.1979  0.      1.    ]
 [-0.1246  0.0086  0.009  ...  0.0515  1.      2.    ]
 [ 0.0557  0.0413 -0.0144 ...  0.0486  2.      1.    ]
 ...
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",2,"[0, 2, 5, 10]","[[4], []]","[[-0.176   0.0406 -0.0698 ...  0.1979  2.      1.    ]
 [-0.1246  0.0086  0.009  ...  0.0515  1.      1.    ]
 [ 0.0557  0.0413 -0.0144 ...  0.0486  0.      1.    ]
 ...
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",5,"[0, 2, 5, 10]","[[6, 7], []]","[[-0.176   0.0406 -0.0698 ...  0.1979  5.      1.    ]
 [-0.1246  0.0086  0.009  ...  0.0515  4.      1.    ]
 [ 0.0557  0.0413 -0.0144 ...  0.0486  3.      1.    ]
 ...
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",10,"[0, 2, 5, 10]","[[11, 12], []]","[[-1.75999999e-01  4.06000018e-02 -6.97999969e-02 ...  1.97899997e-01
   1.00000000e+01  1.00000000e+00]
 [-1.24600001e-01  8.60000029e-03  8.99999961e-03 ...  5.15000001e-02
   9.00000000e+00  1.00000000e+00]
 [ 5.57000004e-02  4.12999988e-02 -1.43999998e-02 ...  4.85999994e-02
   8.00000000e+00  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options', 'Under', 'language', 'settings', 'for', 'the', 'system', 'click', 'to', 'select', 'the', 'japanese', 'check', 'box']",19,"[19, 21]","[[-1], []]","[[-1.75999999e-01  4.06000018e-02 -6.97999969e-02 ...  1.97899997e-01
   1.90000000e+01  1.00000000e+00]
 [-1.24600001e-01  8.60000029e-03  8.99999961e-03 ...  5.15000001e-02
   1.80000000e+01  1.00000000e+00]
 [ 5.57000004e-02  4.12999988e-02 -1.43999998e-02 ...  4.85999994e-02
   1.70000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
