tokens,act_ind,act_inds,obj_inds,state_with_label
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel']",0,"[0, 2, 7]","[[1], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999  0.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155     1.
   2.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002  2.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel']",2,"[0, 2, 7]","[[4], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999  2.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155     1.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002  0.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel']",7,"[0, 2, 7]","[[8, 9], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999  7.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155     6.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002  5.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel', 'On', 'the', 'view', 'menu', 'click', 'large', 'icons']",14,[14],"[[15, 16], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999 14.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155    13.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002 12.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['On', 'the', 'view', 'menu', 'click', 'large', 'icons', 'On', 'the', 'view', 'menu', 'click', 'small', 'icons']",11,[11],"[[12, 13], []]","[[-2.18630001e-01 -4.26640004e-01  5.19599974e-01 ...  1.80840001e-01
   1.10000000e+01  1.00000000e+00]
 [-3.81940007e-02 -2.44870007e-01  7.28120029e-01 ...  2.70619988e-01
   1.00000000e+01  1.00000000e+00]
 [-8.57860036e-03  3.57760012e-01  4.60209996e-01 ...  5.68920016e-01
   9.00000000e+00  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",0,"[0, 2, 5, 10]","[[1], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999  0.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155     1.
   2.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002  2.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",2,"[0, 2, 5, 10]","[[4], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999  2.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155     1.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002  0.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",5,"[0, 2, 5, 10]","[[6, 7], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999  5.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155     4.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002  3.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",10,"[0, 2, 5, 10]","[[11, 12], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999 10.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155     9.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002  8.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options', 'Under', 'language', 'settings', 'for', 'the', 'system', 'click', 'to', 'select', 'the', 'japanese', 'check', 'box']",19,"[19, 21]","[[-1], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999 19.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155    18.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002 17.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options', 'Under', 'language', 'settings', 'for', 'the', 'system', 'click', 'to', 'select', 'the', 'japanese', 'check', 'box']",21,"[19, 21]","[[23, 24, 25], []]","[[-0.76673001 -0.35962     0.38721001 ... -0.22330999 21.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.13155    20.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.61360002 19.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
