tokens,act_ind,act_inds,obj_inds,state_with_label
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel']",0,"[0, 2, 7]","[[1], []]","[[-0.76673001 -0.35962     0.38721001 ...  0.29738787  0.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.00200686  1.
   2.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.08160175  2.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel']",2,"[0, 2, 7]","[[4], []]","[[-0.76673001 -0.35962     0.38721001 ...  0.29738787  2.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.00200686  1.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.08160175  0.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel']",7,"[0, 2, 7]","[[8, 9], []]","[[-7.66730011e-01 -3.59620005e-01  3.87210011e-01 ...  2.97387868e-01
   7.00000000e+00  1.00000000e+00]
 [ 2.33360007e-01  1.60420001e-01  5.07140011e-02 ...  2.00685859e-03
   6.00000000e+00  1.00000000e+00]
 [ 1.72690004e-01 -2.76090000e-02  4.99009997e-01 ...  8.16017464e-02
   5.00000000e+00  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Click', 'start', 'point', 'to', 'settings', 'and', 'then', 'click', 'control', 'panel', 'On', 'the', 'view', 'menu', 'click', 'large', 'icons']",14,[14],"[[15, 16], []]","[[-0.76673001 -0.35962     0.38721001 ...  0.32929519 14.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.05820565 13.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.11342321 12.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['On', 'the', 'view', 'menu', 'click', 'large', 'icons', 'On', 'the', 'view', 'menu', 'click', 'small', 'icons']",11,[11],"[[12, 13], []]","[[-2.18630001e-01 -4.26640004e-01  5.19599974e-01 ... -5.95728159e-02
   1.10000000e+01  1.00000000e+00]
 [-3.81940007e-02 -2.44870007e-01  7.28120029e-01 ...  3.01501274e-01
   1.00000000e+01  1.00000000e+00]
 [-8.57860036e-03  3.57760012e-01  4.60209996e-01 ...  5.72596431e-01
   9.00000000e+00  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",0,"[0, 2, 5, 10]","[[1], []]","[[-0.76673001 -0.35962     0.38721001 ...  0.50311065  0.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.04047692  1.
   2.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.08632084  2.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",2,"[0, 2, 5, 10]","[[4], []]","[[-0.76673001 -0.35962     0.38721001 ...  0.50311065  2.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.04047692  1.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.08632084  0.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",5,"[0, 2, 5, 10]","[[6, 7], []]","[[-0.76673001 -0.35962     0.38721001 ...  0.50311065  5.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.04047692  4.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.08632084  3.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options']",10,"[0, 2, 5, 10]","[[11, 12], []]","[[-0.76673001 -0.35962     0.38721001 ...  0.50311065 10.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ...  0.04047692  9.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.08632084  8.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Click', 'start', 'point', 'to', 'settings', 'click', 'control', 'panel', 'and', 'then', 'double-click', 'regional', 'options', 'Under', 'language', 'settings', 'for', 'the', 'system', 'click', 'to', 'select', 'the', 'japanese', 'check', 'box']",19,"[19, 21]","[[-1], []]","[[-0.76673001 -0.35962     0.38721001 ...  0.37905842 19.
   1.        ]
 [ 0.23336001  0.16042     0.050714   ... -0.05217159 18.
   1.        ]
 [ 0.17269    -0.027609    0.49901    ...  0.04532939 17.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
